"Mouse_ID","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs"
"AA_0734",2019,"26.0325744318207",FALSE,-9.52,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0735",2019,"31.9713426687985",FALSE,-9.04666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0736",2019,"22.9385358851576",FALSE,-6.69833333333333,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0737",2019,"18.9284159382922",FALSE,0.396666666666665,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0738",2019,"31.2743547414124",FALSE,-7.26666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0739",2019,"32.5949289378376",FALSE,-12.125,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0740",2019,"28.9587874033152",FALSE,-9.26333333333333,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0743",2019,"32.2221296594829",FALSE,-9.54666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0744",2019,"32.514763637359",FALSE,-7.18,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0745",2019,"32.1020170743789",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0747",2019,"26.7835452091638",FALSE,-8.39333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0748",2019,"30.9000248708653",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0749",2019,"28.3030755444355",FALSE,-11.525,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0750",2019,"29.0096692255844",FALSE,-9.74166666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0751",2019,"31.9253387986603",FALSE,-12.2466666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0752",2019,"29.7353715335595",FALSE,-11.2366666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0753",2019,"35.2046455980743",FALSE,-9.74666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0754",2019,"30.1839238417804",FALSE,-5.75666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0755",2019,"32.9205456167748",FALSE,-6.45666666666666,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0756",2019,"32.7473295362233",FALSE,-11.54,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0757",2019,"30.9317134140606",FALSE,-10.95,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0758",2019,"34.1244572081877",FALSE,-9.14,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0759",2019,"16.6104189378441",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0760",2019,"32.48441555343",FALSE,-8.55666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0761",2019,"32.6624359866104",FALSE,-12.0166666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0762",2019,"29.0660211857114",FALSE,-10.5916666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0763",2019,"30.7144416488999",FALSE,-10.7933333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0764",2019,"34.8577107311066",FALSE,-9.66333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0765",2019,"31.7309809130121",FALSE,-9.97666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0766",2019,"22.8829630358515",FALSE,-10.81,FALSE,NA,"Fec:FALSE Tissue:FALSE"
